"91000","2","5","-1","1","63834","17","1"
"91001","2","15","-1","1","64649","21","3"
"91002","2","15","-1","1","64678","13","3"
"91003","2","19","-1","2","64360","26","0"
"91004","2","2","-1","1","64356","15","0"
"91005","2","15","-1","1","64671","13","3"
"91006","2","10","-1","2","64342","17","2"
"91007","2","0","-1","1","64472","13","1"
"91008","2","7","-1","1","64536","13","3"
"91009","2","15","-1","1","64683","13","3"
"91010","2","19","-1","2","64357","26","0"
"91011","2","4","-1","1","64515","21","3"
"91012","2","13","-1","1","64462","21","7"
"91013","2","10","-1","2","64340","17","2"
"91014","2","7","-1","1","64542","21","3"
"91015","2","4","-1","1","64511","13","3"
"91016","2","1","-1","1","64879","17","1"
"91017","2","13","-1","1","64464","22","7"
"91018","2","10","-1","2","64337","17","2"
"91019","2","6","-1","1","64554","17","1"
"91020","2","1","-1","1","65310","17","1"
"91021","2","5","-1","1","65312","17","1"
"91022","2","8","-1","1","65316","17","1"
"91023","2","2","-1","2","65317","15","0"
"91024","2","15","-1","1","65325","21","3"
"91025","2","15","-1","1","65323","21","3"
"91026","2","10","-1","2","65331","17","2"
"91027","2","10","-1","2","65334","17","2"
"91028","2","10","-1","2","65331","17","2"
"91029","2","18","-1","2","65337","26","0"
"91030","2","10","-1","2","65167","17","2"
"91031","2","0","-1","1","65361","22","1"
"91032","2","15","-1","1","65342","22","3"
"91033","2","13","-1","1","65349","22","7"
"91034","2","4","-1","1","65378","22","3"
"91035","2","7","-1","1","65385","22","3"
"91036","2","3","-1","1","65365","26","0"
"91037","2","4","-1","1","65380","21","3"
"91038","2","10","-1","2","65330","17","2"
"91039","2","6","-1","1","65648","17","2"
"91040","2","0","-1","1","65361","13","1"
"91041","2","15","-1","1","65340","13","3"
"91042","2","4","-1","1","65376","13","3"
"91043","2","7","-1","1","65388","13","3"
"91044","2","13","-1","1","65404","21","7"
"91045","2","0","-1","1","65361","22","1"
"91046","2","15","-1","1","65340","22","3"
"91047","2","13","-1","1","65350","22","7"
"91048","2","1","-1","1","65153","17","1"
"91049","2","8","-1","1","64397","17","1"
